pattern,checkIn,hours,category,oracle_price,oracle_plan,engine_price,engine_plan
日祝,0.5,19,既存が割高(最適化漏れ),23000,"宿泊1部 + 休憩(サービスタイム2部) + 延長1本",21600,"宿泊2部 + 休憩(サービスタイム3部)"
日祝,0.5,19.5,既存が割高(最適化漏れ),24400,"宿泊1部 + 休憩(サービスタイム2部) + 延長2本",21600,"宿泊2部 + 休憩(サービスタイム3部)"
日祝,0.5,20,既存が割高(最適化漏れ),25800,"宿泊1部 + 休憩(サービスタイム2部) + 延長3本",21600,"宿泊2部 + 休憩(サービスタイム3部)"
日祝,0.5,20.5,既存が割高(最適化漏れ),27200,"宿泊2部 + 前延長4本 + 休憩(サービスタイム3部)",21600,"宿泊2部 + 休憩(サービスタイム3部)"
日祝,0.5,21,既存が割高(最適化漏れ),27200,"宿泊2部 + 前延長4本 + 休憩(サービスタイム3部)",21600,"宿泊2部 + 休憩(サービスタイム3部)"
日祝,0.5,21.5,既存が割高(最適化漏れ),27200,"宿泊2部 + 前延長4本 + 休憩(サービスタイム3部)",21600,"宿泊2部 + 休憩(サービスタイム3部)"
日祝,0.5,22,既存が割高(最適化漏れ),28600,"宿泊2部 + 前延長4本 + 休憩(サービスタイム3部) + 延長1本",23000,"宿泊2部 + 休憩(サービスタイム3部) + 延長1本"
日祝,0.5,22.5,既存が割高(最適化漏れ),29400,"宿泊1部 + 休憩(サービスタイム2部) + 休憩(4時間)",24400,"宿泊2部 + 休憩(サービスタイム3部) + 延長2本"
日祝,0.5,23,既存が割高(最適化漏れ),30800,"宿泊1部 + 休憩(サービスタイム2部) + 休憩(4時間) + 延長1本",25800,"宿泊2部 + 休憩(サービスタイム3部) + 延長3本"
日祝,0.5,23.5,既存が割高(最適化漏れ),32200,"宿泊1部 + 休憩(サービスタイム2部) + 休憩(4時間) + 延長2本",27200,"宿泊2部 + 休憩(サービスタイム3部) + 延長4本"
日祝,0.5,24,既存が割高(最適化漏れ),33600,"宿泊1部 + 休憩(サービスタイム2部) + 休憩(4時間) + 延長3本",28600,"宿泊2部 + 休憩(サービスタイム3部) + 延長5本"
日祝,1,1.5,既存が割高(最適化漏れ),8800,"深夜休憩",7400,"ショート + 延長1本"
日祝,1,3.5,既存が割高(最適化漏れ),13800,"宿泊2部",13000,"ショート + 延長5本"
日祝,1,11.5,既存が割高(最適化漏れ),15200,"宿泊2部 + 延長1本",13800,"宿泊2部"
日祝,1,12,既存が割高(最適化漏れ),16600,"宿泊2部 + 延長2本",13800,"宿泊2部"
日祝,1,12.5,既存が割高(最適化漏れ),18000,"宿泊2部 + 延長3本",13800,"宿泊2部"
日祝,1,13,既存が割高(最適化漏れ),19400,"宿泊2部 + 延長4本",13800,"宿泊2部"
日祝,1,13.5,既存が割高(最適化漏れ),20800,"宿泊2部 + 延長5本",15200,"宿泊2部 + 延長1本"
日祝,1,14,既存が割高(最適化漏れ),21600,"宿泊1部 + 休憩(サービスタイム2部)",16600,"宿泊2部 + 延長2本"
日祝,1,14.5,既存が割高(最適化漏れ),21600,"宿泊1部 + 休憩(サービスタイム2部)",18000,"宿泊2部 + 延長3本"
日祝,1,15,既存が割高(最適化漏れ),21600,"宿泊1部 + 休憩(サービスタイム2部)",19400,"宿泊2部 + 延長4本"
日祝,1,15.5,既存が割高(最適化漏れ),21600,"宿泊1部 + 休憩(サービスタイム2部)",20800,"宿泊2部 + 延長5本"
日祝,1,18.5,既存が割高(最適化漏れ),23000,"宿泊1部 + 休憩(サービスタイム2部) + 延長1本",21600,"宿泊2部 + 休憩(サービスタイム3部)"
日祝,1,19,既存が割高(最適化漏れ),24400,"宿泊1部 + 休憩(サービスタイム2部) + 延長2本",21600,"宿泊2部 + 休憩(サービスタイム3部)"
日祝,1,19.5,既存が割高(最適化漏れ),25800,"宿泊1部 + 休憩(サービスタイム2部) + 延長3本",21600,"宿泊2部 + 休憩(サービスタイム3部)"
日祝,1,20,既存が割高(最適化漏れ),27200,"宿泊2部 + 前延長4本 + 休憩(サービスタイム3部)",21600,"宿泊2部 + 休憩(サービスタイム3部)"
日祝,1,20.5,既存が割高(最適化漏れ),27200,"宿泊2部 + 前延長4本 + 休憩(サービスタイム3部)",21600,"宿泊2部 + 休憩(サービスタイム3部)"
日祝,1,21,既存が割高(最適化漏れ),27200,"宿泊2部 + 前延長4本 + 休憩(サービスタイム3部)",21600,"宿泊2部 + 休憩(サービスタイム3部)"
日祝,1,21.5,既存が割高(最適化漏れ),28600,"宿泊2部 + 前延長4本 + 休憩(サービスタイム3部) + 延長1本",23000,"宿泊2部 + 休憩(サービスタイム3部) + 延長1本"
日祝,1,22,既存が割高(最適化漏れ),29400,"宿泊1部 + 休憩(サービスタイム2部) + 休憩(4時間)",24400,"宿泊2部 + 休憩(サービスタイム3部) + 延長2本"
日祝,1,22.5,既存が割高(最適化漏れ),30800,"宿泊1部 + 休憩(サービスタイム2部) + 休憩(4時間) + 延長1本",25800,"宿泊2部 + 休憩(サービスタイム3部) + 延長3本"
日祝,1,23,既存が割高(最適化漏れ),32200,"宿泊1部 + 休憩(サービスタイム2部) + 休憩(4時間) + 延長2本",27200,"宿泊2部 + 休憩(サービスタイム3部) + 延長4本"
日祝,1,23.5,既存が割高(最適化漏れ),33600,"宿泊1部 + 休憩(サービスタイム2部) + 休憩(4時間) + 延長3本",28600,"宿泊2部 + 休憩(サービスタイム3部) + 延長5本"
日祝,1,24,既存が割高(最適化漏れ),35000,"宿泊2部 + 前延長4本 + 休憩(サービスタイム3部) + 休憩(4時間)",29400,"宿泊2部 + 休憩(サービスタイム3部) + 休憩(M時間)"
日祝,1.5,1,既存が割高(最適化漏れ),8800,"深夜休憩",7400,"ショート + 延長1本"
日祝,1.5,11,既存が割高(最適化漏れ),15200,"宿泊2部 + 延長1本",13800,"宿泊2部"
日祝,1.5,11.5,既存が割高(最適化漏れ),16600,"宿泊2部 + 延長2本",13800,"宿泊2部"
日祝,1.5,12,既存が割高(最適化漏れ),18000,"宿泊2部 + 延長3本",13800,"宿泊2部"
日祝,1.5,12.5,既存が割高(最適化漏れ),19400,"宿泊2部 + 延長4本",13800,"宿泊2部"
日祝,1.5,13,既存が割高(最適化漏れ),20800,"宿泊2部 + 延長5本",15200,"宿泊2部 + 延長1本"
日祝,1.5,13.5,既存が割高(最適化漏れ),21600,"宿泊1部 + 休憩(サービスタイム2部)",16600,"宿泊2部 + 延長2本"
日祝,1.5,14,既存が割高(最適化漏れ),21600,"宿泊1部 + 休憩(サービスタイム2部)",18000,"宿泊2部 + 延長3本"
日祝,1.5,14.5,既存が割高(最適化漏れ),21600,"宿泊1部 + 休憩(サービスタイム2部)",19400,"宿泊2部 + 延長4本"
日祝,1.5,15,既存が割高(最適化漏れ),21600,"宿泊1部 + 休憩(サービスタイム2部)",20800,"宿泊2部 + 延長5本"
日祝,1.5,18,既存が割高(最適化漏れ),23000,"宿泊1部 + 休憩(サービスタイム2部) + 延長1本",21600,"宿泊2部 + 休憩(サービスタイム3部)"
